orgnr_frtk,yrkeskode,antall_stillinger
976229673,5223,1
976229673,4224,3
976229673,5120,6
976229673,2423,1
976229673,9112,51
976229673,5151,3
976229673,1412,1
976229673,2433,1
976229673,3322,3
976229673,1431,2
976229673,9123,2
911463830,1219,1
911463830,7233,2
911463830,2621,1
911463830,3112,1
911463830,4224,1
911463830,3323,1
911463830,5120,72
911463830,4110,21
911463830,3312,2
911463830,3115,1
911463830,3313,1
911463830,4311,2
911463830,9112,6
911463830,5151,2
911463830,1412,3
911463830,2411,1
911463830,1221,2
911463830,5131,1
911463830,2352,6
911463830,3118,1
966553596,3123,1
914748534,5223,1
950572701,7411,1
985873305,8322,2
916665814,2161,2
987493348,2519,2
987493348,2413,1
987493348,2511,1
982741076,3313,2
983335543,2422,2
983335543,3323,1
935854679,4110,1
935854679,4321,1
935854679,1324,1
935854679,3322,4
936272630,5131,1
993593516,2166,1
993593516,3322,2
993098736,2514,7
993098736,5223,41
993098736,4132,2
993098736,2412,1
993098736,1211,1
993098736,2166,1
993098736,3257,2
993098736,4110,3
993098736,4222,6
993098736,4322,1
993098736,2513,2
993098736,4221,3
993098736,2631,1
993098736,1221,1
993098736,2434,5
993098736,3322,49
993098736,2511,16
993098736,5244,4
982085160,1219,1
982085160,3119,16
982085160,1349,14
982085160,2149,3
982085160,2514,2
982085160,3123,3
982085160,3122,1
982085160,7412,3
982085160,3512,3
982085160,3112,2
982085160,3511,21
982085160,7411,2
982085160,3114,68
982085160,3113,65
982085160,7413,1
982085160,2412,3
982085160,2413,2
982085160,2166,1
982085160,3257,2
982085160,2432,2
982085160,3117,13
982085160,3323,10
982085160,2642,1
982085160,3116,8
982085160,4110,8
982085160,1330,1
982085160,1321,14
982085160,1324,1
982085160,1322,1
982085160,4322,1
982085160,3115,16
982085160,3412,8
982085160,8181,1
982085160,1222,2
982085160,2423,4
982085160,2512,2
982085160,4311,3
982085160,2431,9
982085160,2411,6
982085160,2631,6
982085160,1221,16
982085160,2433,24
982085160,3322,20
982085160,2529,1
982085160,2152,30
982085160,2151,28
982085160,2146,9
982085160,2141,1
982085160,2145,3
982085160,2144,58
982085160,2153,6
982085160,2351,1
982085160,2511,11
982085160,2310,1
911374285,3119,1
911374285,2621,1
911374285,3511,3
911374285,1322,1
911374285,2423,1
911374285,4311,2
911374285,2411,2
911374285,1221,2
911374285,2152,1
911374285,2151,1
911374285,2144,3
968041096,3322,2
961802008,5163,1
987238259,3119,1
987238259,3511,6
987238259,3117,1
987238259,3116,1
987238259,3115,5
987238259,2152,1
987238259,2151,1
981363019,2356,1
981363019,3119,2
981363019,2149,3
981363019,7412,8
981363019,3212,2
981363019,3114,2
981363019,2111,1
981363019,3257,1
981363019,3116,5
981363019,2113,4
981363019,4110,4
981363019,3115,3
981363019,2120,1
981363019,8131,3
981363019,4311,3
981363019,2431,1
981363019,2132,1
981363019,2152,1
981363019,2511,1
991729666,1349,2
991729666,4110,1
991729666,2431,2
991729666,3331,1
991729666,2511,1
957212158,1120,2
957212158,1219,1
957212158,3119,1
957212158,3212,3
957212158,5223,1
957212158,2412,1
957212158,3257,1
957212158,4110,2
957212158,1321,1
957212158,4313,2
957212158,2423,1
957212158,3313,3
957212158,2431,2
957212158,1221,4
957212158,2433,1
957212158,3322,4
957212158,2511,1
998085497,1349,3
998085497,2262,1
998085497,2413,1
998085497,3311,1
998085497,2423,2
998085497,2431,2
998085497,2223,1
998085497,2511,1
962201776,5223,1
894973552,7411,1
979324421,3342,5
979324421,1219,2
979324421,5419,15
979324421,7233,1
979324421,3333,1
979324421,5223,1
979324421,2412,2
979324421,1211,2
979324421,2342,1
979324421,7321,2
979324421,5246,2
979324421,9312,1
979324421,4224,9
979324421,3514,1
979324421,5120,5
979324421,4110,20
979324421,4222,19
979324421,4322,1
979324421,2423,8
979324421,1212,1
979324421,3313,6
979324421,4311,21
979324421,2431,1
979324421,9510,1
979324421,4226,10
979324421,1221,1
979324421,2433,2
979324421,3322,4
979324421,4223,2
979324421,5131,1
979324421,3343,4
979324421,5244,1
979324421,5153,1
998769086,9112,2
982964806,9112,19
994498096,8322,2
994498096,7411,2
994498096,7122,4
994498096,4110,3
994498096,9333,4
994498096,8332,2
994498096,4311,1
994498096,9112,2
994498096,9111,2
994498096,5151,2
994498096,7126,5
994498096,7222,12
980176185,2641,1
980176185,2642,3
980176185,2511,1
980176185,5414,1
984259360,7411,3
897039052,5329,1
954053024,5165,1
898716422,5223,1
913287053,5223,6
996207935,5311,2
996207935,5322,2
996207935,1342,1
996207935,9112,1
996207935,5312,1
996207935,2224,1
914313902,1349,1
914313902,5223,1
914313902,3112,9
914313902,7411,2
914313902,7122,1
914313902,4110,5
914313902,1323,3
914313902,2423,1
914313902,4311,2
914313902,1221,1
914313902,2142,5
914313902,3118,3
914313902,7115,12
914853214,7126,3
