orgnr_frtk,nkode1,ansatte_antall,navn,naerk_tekst
948991926,41.101,7.0,ÅRDAL BOLIGBYGGELAG,Boligbyggelag
880428152,41.200,7.0,ÅRDAL BYGGSERVICE AS,Oppføring av bygninger
874781762,84.110,44.0,ÅRDAL KOMMUNE ADMINISTRASJON,Generell offentlig administrasjon
995163098,84.120,95.0,ÅRDAL KOMMUNE BARNEHAGAR,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
922023212,88.991,8.0,ÅRDAL KOMMUNE BARNEVERN,Barneverntjenester
976972201,84.120,157.0,ÅRDAL KOMMUNE BU- OG MILJØTENESTA,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
876972212,84.120,186.0,ÅRDAL KOMMUNE ELDREOMSORG OG HEIMETENESTER,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
976972228,84.120,156.0,ÅRDAL KOMMUNE GRUNNSKULAR,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
974775239,84.120,30.0,ÅRDAL KOMMUNE HELSETENESTA,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
974775247,84.120,28.0,ÅRDAL KOMMUNE KULTUR,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
995158442,84.120,11.0,ÅRDAL KOMMUNE SOSIALTENESTA,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
974775255,84.130,78.0,ÅRDAL KOMMUNE TEKNISKE TENESTER,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked
968184245,28.300,10.0,ÅRDAL LANDBRUK AS,Produksjon av jordbruks- og skogbruksmaskiner
976727401,25.620,46.0,ÅRDAL MASKINERING AS,Bearbeiding av metaller
996500012,43.120,7.0,ÅRDAL OG SKEIE AS,Grunnarbeid
970896082,81.220,2.0,ÅRDAL REINHALDSSERVICE AS,Utvendig rengjøring av bygninger og industriell rengjøring
983435297,61.100,13.0,ÅRDALSNETT AS,Kabelbasert telekommunikasjon
918096833,47.111,15.0,ÅRDALSTANGEN MAT AS,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler
995959380,88.911,17.0,ÅRENGEN BARNEHAGE AS,Barnehager
933268489,47.761,13.0,ÅRNES BLOMSTER AS,Butikkhandel med blomster og planter
